2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Valentina Cruz | Asunto: [ALERTA 7d] Vence 'Garantía' — Rael, Santana y Reynoso | ID: OBL-0012 | Dias: 7 | USD: 105544.01
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Daniela Fuentes | Asunto: [ALERTA 7d] Vence 'Contrato de Arriendo' — Despacho Valadez-Narváez | ID: OBL-0016 | Dias: 7 | USD: 402717.85
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Andrés Salinas | Asunto: [ALERTA 7d] Vence 'Permiso Municipal' — Esquibel-Vergara | ID: OBL-0018 | Dias: 7 | USD: 198420.32
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Carlos Mendez | Asunto: [ALERTA 7d] Vence 'Contrato de Arriendo' — Guerra S.A. de C.V. | ID: OBL-0037 | Dias: 7 | USD: 429958.06
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Sofía Reyes | Asunto: [ALERTA 7d] Vence 'Permiso Municipal' — Godínez, Parra y Villalpando | ID: OBL-0047 | Dias: 7 | USD: 451318.99
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ana Torres | Asunto: [ALERTA 7d] Vence 'Contrato de Arriendo' — Laboratorios Quesada y Chacón | ID: OBL-0050 | Dias: 7 | USD: 290010.97
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Daniela Fuentes | Asunto: [ALERTA 7d] Vence 'Permiso Municipal' — Club Romo, Barela y Corral | ID: OBL-0066 | Dias: 7 | USD: 276288.53
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Jorge Quispe | Asunto: [ALERTA 7d] Vence 'Permiso Municipal' — Grupo Candelaria y Zarate | ID: OBL-0075 | Dias: 7 | USD: 175479.55
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Valentina Cruz | Asunto: [ALERTA 7d] Vence 'Póliza de Seguro' — Grupo Rangel, Angulo y Rolón | ID: OBL-0076 | Dias: 7 | USD: 199834.52
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Carlos Mendez | Asunto: [ALERTA 7d] Vence 'Permiso Municipal' — Despacho Bustamante y Arenas | ID: OBL-0092 | Dias: 7 | USD: 306025.71
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ricardo Morales | Asunto: [ALERTA 15d] Vence 'Póliza de Seguro' — Industrias Camacho, Rosario y Muñiz | ID: OBL-0006 | Dias: 15 | USD: 478649.32
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ricardo Morales | Asunto: [ALERTA 15d] Vence 'Póliza de Seguro' — Casanova y Ferrer S.A. | ID: OBL-0017 | Dias: 15 | USD: 456654.93
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Valentina Cruz | Asunto: [ALERTA 15d] Vence 'Permiso Municipal' — Gamboa y Negrón A.C. | ID: OBL-0049 | Dias: 15 | USD: 78243.62
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Jorge Quispe | Asunto: [ALERTA 15d] Vence 'Contrato de Arriendo' — Sosa y Sevilla S.A. de C.V. | ID: OBL-0069 | Dias: 15 | USD: 449563.39
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Jorge Quispe | Asunto: [ALERTA 15d] Vence 'Permiso Municipal' — Escobedo-Salinas | ID: OBL-0082 | Dias: 15 | USD: 1843.95
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ricardo Morales | Asunto: [ALERTA 15d] Vence 'Póliza de Seguro' — Proyectos Prieto-Esparza | ID: OBL-0088 | Dias: 15 | USD: 215514.19
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ana Torres | Asunto: [ALERTA 30d] Vence 'Permiso Municipal' — Proyectos Peralta-Zapata | ID: OBL-0023 | Dias: 30 | USD: 265028.06
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ana Torres | Asunto: [ALERTA 30d] Vence 'Permiso Municipal' — Laboratorios Delgadillo, Valdivia y Salazar | ID: OBL-0041 | Dias: 30 | USD: 234045.31
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ana Torres | Asunto: [ALERTA 30d] Vence 'Contrato de Arriendo' — Grupo Moreno, Salcido y Escobedo | ID: OBL-0045 | Dias: 30 | USD: 26243.58
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Andrés Salinas | Asunto: [ALERTA 30d] Vence 'Permiso Municipal' — Elizondo y Trejo e Hijos | ID: OBL-0048 | Dias: 30 | USD: 133336.33
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Valentina Cruz | Asunto: [ALERTA 30d] Vence 'Póliza de Seguro' — Venegas y Gómez S.C. | ID: OBL-0059 | Dias: 30 | USD: 219654.10
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Jorge Quispe | Asunto: [ALERTA 30d] Vence 'Contrato de Arriendo' — Castañeda A.C. | ID: OBL-0074 | Dias: 30 | USD: 429438.03
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Jorge Quispe | Asunto: [ALERTA 30d] Vence 'Contrato de Arriendo' — Casillas, Escamilla y Franco | ID: OBL-0081 | Dias: 30 | USD: 193212.52
2026-03-26 23:36:27 | INFO | DRY-RUN | Para: Ricardo Morales | Asunto: [ALERTA 30d] Vence 'Contrato de Arriendo' — Duarte-Casas e Hijos | ID: OBL-0083 | Dias: 30 | USD: 474488.37
